taskid	tweetid	tweet_type	persp_toxicity_score	text	ToJournalist
958	1451114693498753027	reply-other-handle	0.7509647	@ghadaoueiss لذلك انت ممله بمرتبة القرف	1
957	1465028917602000899	reply-other-handle	0.7509647	@ghadaoueiss هل يستطعون يقتلون مليار مسلم فوق الأرض	0
956	1459875169158184964	reply-other-handle	0.7464593	@ghadaoueiss مجرم قذر معتوه مختل عقلياً	0
955	1463960276571766787	reply-other-handle	0.7382047	@ghadaoueiss والحكومات العربية أغبى ما يكون	0
954	1443513624987852800	reply-other-handle	0.7344555	@ghadaoueiss الهراء هراء لا يتفضل به	0
953	1459914471145709570	reply-other-handle	0.73034537	@ghadaoueiss متخلف عقلي	0
952	1445246413621837829	reply-other-handle	0.7212062	@ghadaoueiss ويلاحظ انك تعبرين عن رأيك هذا مستخدمة إحدى وسائل الهراء!!!!!! فعلاً إنها وسائل الهراء	1
951	1448701671257919489	reply-other-handle	0.7212062	@ghadaoueiss انتي خائنة ووالدك كان عميل للصهاينة وانتي كلبة عزمي حماره كما يسمونك في قناة الخنزيرة يا خنزيرة.	1
950	1453349948586663941	reply-other-handle	0.7212062	@ghadaoueiss جورج قرداحي منافق	0
949	1460748988903264256	reply-other-handle	0.7212062	@ghadaoueiss لعنة اليهود على لسان موسى وعيسى بن مريم	0
948	1461198273440620544	reply-other-handle	0.7212062	@ghadaoueiss متوحشون متخلفون	0
947	1478981897082621952	reply-other-handle	0.7212062	@ghadaoueiss كانوا أنفسهم عبيد ولم يعرفوا طعم الحرية يوما. ماذا تنتظرون من هؤلاء الحيو***نات	0
946	1476559436575645698	reply-other-handle	0.7060645	@ghadaoueiss الجحيم لإسرائيل	0
945	1453534985936379909	reply-other-handle	0.7007861	@ghadaoueiss مشكلته أنه جاهل سطحي عنصري وإن بدى غير ذلك	0
944	1455901764365004803	reply-other-handle	0.7007861	@ghadaoueiss @jassimsalman كلب وملعون	0
943	1459642888007176197	reply-other-handle	0.7007861	@ghadaoueiss هذا معتوه عنده مرض العظمة	0
942	1459712386236096512	reply-other-handle	0.7007861	@ghadaoueiss معتوه العرب	0
940	1465002378374127620	reply-other-handle	0.7007861	@ghadaoueiss قتلهم الله الملاعين قتلة النساء والأطفال	0
939	1466565134759956489	reply-other-handle	0.7007861	@ghadaoueiss عنصري ركيك	0
938	1466847171962183685	reply-other-handle	0.7007861	@ghadaoueiss قناة   العبرية.         السعوديون وبلاد  الخمارات  ناس  مريضة	0
937	1469395483399499778	reply-other-handle	0.7007861	@ghadaoueiss تم اغتصاب منتخب الصهاينة	0
936	1439536411791745032	reply-other-handle	0.6887467	@ghadaoueiss موضوعك سخيف	1
935	1460681940802146305	reply-other-handle	0.6887467	@ghadaoueiss لعنة الله على عملاء اليهود	0
934	1467159506463432705	reply-other-handle	0.6887467	@ghadaoueiss قاتل الله اليهود	0
933	1441386192101068802	reply-other-handle	0.68288773	@ghadaoueiss الغباء أسرع انتشارا من كورونا. وباء كورونا أصبح تحت السيطرة بفعل اللقاحات. لكن الغباء لا لقاح ولا دواء.	0
932	1459609332459479040	reply-other-handle	0.6809553	@ghadaoueiss وضعت زوجتي وليدا كنت احب ان اسميه محمدا تيمنا بالنبي ولكن افعال هذا الغبي المدلل صرفني عن ذلك وسميته وليد!	0
931	1459807598488735747	reply-other-handle	0.6809553	@ghadaoueiss هذا قواد قذر	0
930	1460278726265036806	reply-other-handle	0.6809553	@ghadaoueiss وضعت زوجتي وليدا كنت احب ان اسميه محمدا تيمنا بالنبي ولكن افعال هذا الغبي المدلل صرفني عن ذلك وسميته وليد!	0
929	1448982762694787082	reply-other-handle	0.67902285	@ghadaoueiss @YouTube هم منافقون	0
928	1458482346718552070	reply-other-handle	0.67902285	@ghadaoueiss لأن الشعوب  متخلفة ..	0
927	1458728608965484545	reply-other-handle	0.67902285	@ghadaoueiss شيء لم يفهمه بعض المغفلين  لحد اليوم.	0
926	1436738326367719428	reply-other-handle	0.6777893	@ghadaoueiss @OlaAlfares هذا للأسف الشديد تبييض للوجه القبيح للطغاة !!!	0
924	1476683343714566146	reply-other-handle	0.6777893	@ghadaoueiss @AtefDalgamouni1 هذا صحيح ، الصهاينة مقرفون في تعبيراتهم ، ثقافاتهم اللغوية فاسدة	0
923	1458464473598021638	reply-other-handle	0.6769488	@ghadaoueiss هذا هو شأن المذبذبين .. أسوأ من المنافقين	0
922	1458803397302304768	reply-other-handle	0.6757943	@ghadaoueiss منافق بضيافة كذاب	0
921	1458821258133618697	reply-other-handle	0.6757943	@ghadaoueiss شتمتي شعب بأكمله. بانه الاسد. اغتصبه     ومازكرتي انه تميم. اغتصب بيو. وانقلب عليه.	0
920	1450774420369428480	reply-other-handle	0.6710289	@ghadaoueiss @RASHIDALJEDAIA انتوا اثنينكم راضعين من ديد خنزير واحد.	0
919	1459703106996944896	reply-other-handle	0.6710289	@ghadaoueiss صورة لشخص عظيم لا يجوز وضعها في حساب كلبة مرتزقة تقتات عن طريق الفتن	1
918	1462751826944708610	reply-other-handle	0.6710289	@ghadaoueiss هؤلاء جبناء .....	0
917	1463597198017454096	reply-other-handle	0.6710289	@ghadaoueiss المسلم يرككع الشيطان	0
916	1465005488387633155	reply-other-handle	0.6710289	@ghadaoueiss لعنة الله عليه	0
915	1467153499842621445	quote-other-handle	0.6710289	كسم الاحتلال كسم الاحتلال كسم الاحتلال كسم الاحتلال كسم الاحتلال  واخيرا كسمين ام العرب	0
914	1467365090009747458	reply-other-handle	0.6710289	@ghadaoueiss قتلنا اسودتا فتأكلنا الكلاب	0
913	1438052193010061316	reply-other-handle	0.6611312	@ghadaoueiss إنهم مرضى نفسيا	0
912	1448706560218251264	reply-other-handle	0.6611312	@ghadaoueiss هذا الرجل من شياطين الإنس	0
911	1460090604478775297	reply-other-handle	0.6611312	@ghadaoueiss الكلاب كثر من أمثاله وهؤلاء خنازير النظام	0
910	1459652609774657540	reply-other-handle	0.6556601	@ghadaoueiss هو مجرم ودكتاتور وأشياء كثيرة بلا شك أو فصال	0
909	1466882822040440832	reply-other-handle	0.6556601	@ghadaoueiss لأنه أهبل	0
908	1448007798575468559	reply-other-handle	0.650189	@ghadaoueiss يعني من الاخر ، مرضى نفسيين ..!!	0
907	1454381013493329923	reply-other-handle	0.650189	@ghadaoueiss فرنسا هي الأفعى.	0
906	1454739934888214530	reply-other-handle	0.650189	@ghadaoueiss تحدثي عن من اغتصبوك فقط	1
905	1482747528881844231	reply-other-handle	0.650189	@ghadaoueiss الأسد قواد مثل قواد البيت الأضرط	0
904	1433803106593169413	reply-other-handle	0.6430099	@ghadaoueiss بل أنت المريضة	1
903	1437396418222858248	reply-other-handle	0.6430099	@ghadaoueiss مسيحي واطي	0
902	1463137914045583360	reply-other-handle	0.6430099	@ghadaoueiss قرار غبي	0
901	1437721868316913668	reply-other-handle	0.6357597	@ghadaoueiss صغير أحمق لا يهتم إلا بالصغائر والمهلكة في عهده تسير بسرعة نحو الزوال	0
900	1448977736706502659	reply-other-handle	0.6357597	@ghadaoueiss الله يهديك أين هو الحق في أن تقوم المرأة بلبس المايوه يصبح اسمها عاهرة أو ق ح ب ة	1
899	1452726546532347913	reply-other-handle	0.6357597	@ghadaoueiss كيف يكون مضطرب عقليا وهو ليس لديه عقل	0
898	1458423495646384135	reply-other-handle	0.6357597	@ghadaoueiss لانهم اغبياء	0
897	1465560954557632517	reply-other-handle	0.6357597	@ghadaoueiss قطر إجمعي كلابك فقد عاثوا في الأرض نفاقًا ما أحقركم مجمع المنافقين.	0
896	1463939228170129417	reply-other-handle	0.630413	@ghadaoueiss عندما يكون لديك عدو أول. اجلب الثاني وأذهب أنت والأول للجحيم	0
895	1456409927128334336	reply-other-handle	0.6254302	@ghadaoueiss العرب الاغبياء	0
893	1470495178809040899	reply-other-handle	0.6254302	@ghadaoueiss @azeddin46413520 مجرم قاتل  يجب قتله شرعا	0
892	1454979882631540739	reply-other-handle	0.6237118	@ghadaoueiss كس خواتكم كلكم  ع واحد واحد    كل  اعلامي وكل ناشط سياسي    كلكم   ماعندكم شرف ولا اي كرامة  مجرد ابواق	0
891	1453191288937922561	reply-other-handle	0.6221407	@ghadaoueiss حتى أنتي يا حمالة الحطب حشرتي نفسك في مؤخرة بن سلمان وبن زايد	1
890	1456594349538615301	reply-other-handle	0.6221407	@ghadaoueiss قيس مريض نفسيا	0
889	1457582861016616962	reply-other-handle	0.6221407	@ghadaoueiss شراميط قناة الجزيرة 🐕🐕🐕🐕غادة كسيس🎈🎈🎈  من فلس طيز https://t.co/cY5kZhuVDh	1
888	1459686021809983492	reply-other-handle	0.6221407	@ghadaoueiss أمير الدعارة الوهابية	0
887	1460019437428424710	reply-other-handle	0.6221407	@ghadaoueiss هذا الجاهل سيجعلني أغير اسمي	0
886	1467280268126007302	reply-other-handle	0.6221407	@ghadaoueiss من إكرامك لنفسك تجاهل الحمقى.	0
885	1472697848454078466	reply-other-handle	0.6221407	@ghadaoueiss إذ لا يمكن أن تصادق محتلّاً ما لم تكن مجرماً مثله أم أبله لا تفقه ماذا تفعل https://t.co/cyPFZJugAq	0
884	1452717082907398175	reply-other-handle	0.61826205	@ghadaoueiss فعلًا صادق في حديثه يا استاذه غاده بن سلمان مجنون ومختل عقليا وقاتل	0
883	1459630559051796482	reply-other-handle	0.61826205	@ghadaoueiss عجبت من حلم الله عليك وتجبرك عليه أيها الفاجر القاتل المنشار	0
882	1437373030947344386	reply-other-handle	0.60845	@ghadaoueiss تأييد بشار الحيوان ليس مجرد تأييد لدكتاتورية بل هو تأييد لقتل الاطفال.	0
881	1438217605702201350	reply-other-handle	0.60845	@ghadaoueiss أمة عربية فاشلة.   ذات رسالة هاملة ساقطة	0
880	1446702040781099010	reply-other-handle	0.60845	@ghadaoueiss كمثل الحمار يحمل اسفار	0
879	1446757521453162496	reply-other-handle	0.60845	@ghadaoueiss أذهب بعيدا عن بلاد العرب	0
878	1448592713406951426	reply-other-handle	0.60845	@ghadaoueiss لماذا لا يوظف آل ثاني إلا الحثالات الطائفية؟ هل يضعونها شرطا لدخول الجزيرة؟	0
877	1467451689875685381	reply-other-handle	0.60845	@ghadaoueiss أنت يا @ghadaoueiss تعطين لنفسك قيمة لا تستحقين. كم شهادة جامعية تمتلكين. كأغلب صحفيي الجزيرة أنت غير كفأة و أمية	1
876	1445138727924273154	reply-other-handle	0.59863794	@ghadaoueiss العجيب هو أنك تستعملين تويتر من أجل الدعاء على تويتر وهذا يعتبر قمة الهراء	1
875	1453512005931896832	reply-other-handle	0.59863794	@ghadaoueiss كذلك تفه على حقارتكم وأنتم تكيلون لصالح المعتدي الغازي وتعتبرون كل صوت ضد المعتدي عورة يجب تغطيتها	0
874	1459648669637033984	reply-other-handle	0.59863794	@ghadaoueiss لا يستحق الحياة.	0
873	1459788445908361218	reply-other-handle	0.59863794	@ghadaoueiss الإرهابي معزبك لي داعم للإرهاب	0
872	1437430855476006913	reply-other-handle	0.5958905	@ghadaoueiss الحمار	0
871	1441483188761726976	reply-other-handle	0.5958905	@ghadaoueiss الغبي يتمتع بصحة جيدة بينما الذين حوله عانوا من الامراض بسبب غباؤه	0
870	1441558340417503232	reply-other-handle	0.5958905	@ghadaoueiss مثله مثل الحماقة أعيت من يداويها	0
869	1441584640989478912	reply-other-handle	0.5958905	@ghadaoueiss يكون الغبي دوما سعيدا ومعجبا بنفسه	0
868	1446965165178634253	reply-other-handle	0.5958905	@ghadaoueiss إلى فلسطين للموت في سبيل تحرير المسجد الأقصى.	0
866	1448614870627360771	reply-other-handle	0.5958905	@ghadaoueiss الغذر من طبيعتهم كلاب الصهاينة داخل	0
865	1453084067998601223	reply-other-handle	0.5958905	@ghadaoueiss مهرج ن لكن غير ظرفاء. هم عملاء.	0
864	1453332267179335683	reply-other-handle	0.5958905	@ghadaoueiss لا يفقه شيء بالسياسة ولا يصلح أكثر من تقديم برامج اجتماعيه. غباء مطلق تحياتي ست غادة	1
863	1453353270114766848	reply-other-handle	0.5958905	@ghadaoueiss انتي بنت قحبه صفي شرمووووطه ديثووة عدك لاامس تتكلمي على السعوديه والامارت واليوم تدفعي عليه العنه عليك ياشرموووووطه	1
862	1456991168391155718	reply-other-handle	0.5958905	@ghadaoueiss دعي الكلاب تنبح حتى تصمت وحدها	1
861	1458466544200175626	reply-other-handle	0.5958905	@ghadaoueiss من يخلط فهو غبي	0
860	1459622125698957318	reply-other-handle	0.5958905	@ghadaoueiss لا يوجد أقذر وانجس واحقر من هذه العائلة	0
859	1459655698896326659	reply-other-handle	0.5958905	@ghadaoueiss عندما يجتميع المجريمون وعملاء بني الصهيوني المجوسي وهابي الصهيوني	0
858	1466371370959486977	reply-other-handle	0.5958905	@ghadaoueiss وستبقين مثل الكلبة  تنبحين لاسيادك مقابل عظمة.	1
857	1466383254525812739	reply-other-handle	0.5958905	@ghadaoueiss سيخرسك سيدك	1
856	1467126928683450369	reply-other-handle	0.5958905	@ghadaoueiss سيطلقون عليك إسم الخائن لبلده لأنك فقط رفضت أن تكون كلبهم المطيع	0
855	1467169055320719363	reply-other-handle	0.5958905	@ghadaoueiss مع كل احترامي انت حيوان	0
854	1467206544207060994	quote-other-handle	0.5958905	المجرمون اليهود	0
853	1467386151933775873	quote-other-handle	0.5958905	كسم الامم المتحدة والقانون الدولي والحكام العرب والسلطه الفلسطينيه ومحمود عباس وحسن نصر اللات وكل من لا يرد علي هذه الجريمة ردا رادعا	0
852	1467741007131426816	reply-other-handle	0.5958905	@ghadaoueiss المشركون حطب جهنم	0
851	1472700530594099211	reply-other-handle	0.5958905	@ghadaoueiss المطبعين عندنا مجرمين واغبياء في آن واحد. يعني الطامة الكبرى	0
850	1448590746534154240	reply-other-handle	0.5933793	@ghadaoueiss هم قتلة ومجرمين هم إرهابيين	0
849	1453604626981441538	reply-other-handle	0.5933793	@ghadaoueiss بالفعل ومن قال هذا الهراء	0
848	1465610200241614851	reply-other-handle	0.5933793	@ghadaoueiss غادة كسيس سدي فمك وكسك بديش حكي جاكوزي يزلمه في بيتك من الي صورك ? < اغبياء احنا اكيد معك احد وهو الى صورك وفضحك اما الله وخلقه 😂😂😂🤪	1
847	1480643856408395776	reply-other-handle	0.5933793	@ghadaoueiss الفطرة البشرية اللامبالية الهامشية الفارغة الجاهلة المنقادة والتابعة والسوقية.	0
846	1479490607810818051	reply-other-handle	0.58919406	@ghadaoueiss شعب حمار وسخ	0
845	1443131736364355591	reply-other-handle	0.5851118	@ghadaoueiss مرضى نفسيين	0
844	1458828360126246919	reply-other-handle	0.5851118	@ghadaoueiss حقًا ست غادة أوهن من بيت العنكبوت هؤلاء المغتصبين كل شي	1
843	1456135331640758273	reply-other-handle	0.5835036	@ghadaoueiss لا تفرحي سيدتي الفاضلة فالخنازير لا تفترس القردة ...	1
842	1446931725997707266	reply-other-handle	0.5818954	@ghadaoueiss أذهب إلى حضن امي وصدر أبي         ،	0
841	1459098052023754753	reply-other-handle	0.5818954	@ghadaoueiss عاهات عربية	0
840	1434135386255761408	reply-other-handle	0.5810591	@ghadaoueiss @HassineOuennic1 عاهرة الجاكوزي مساء النيك يا قحبة الجزيرة الاولى	1
839	1434983432010956800	reply-other-handle	0.5810591	@ghadaoueiss هذه الفتحة تبقى وصمة عار في جبين كل صهيوني ليس المدير وفريقه فقط https://t.co/m7EfoUfZlI	0
838	1437879358274916354	reply-other-handle	0.5810591	@ghadaoueiss أتمنى أن هؤلاء وعلى رأسهم شلة ابن سلمان وآل الشيخ والقذر الذي لا يقدح من رأسه لا ينتمون إلى أي أمة أو دين وإنما هي مخلوقات حيوانية بدائية قُدّر لها أن تعيش في هذا العصر مع كثير من المال وغياب للأخلاق والضمير.	0
837	1446601810974814214	reply-other-handle	0.5810591	@ghadaoueiss اذهب لقص رقاب الطغاة	0
836	1451425713337389060	reply-other-handle	0.5810591	@ghadaoueiss @Wael763568433 البكيني حلال عليك فقط مع أسيادك أيتها الساقطة	1
835	1454930164299751425	reply-other-handle	0.5810591	@ghadaoueiss ش أخبار داعش وأغتصاب مذية من الجزيرة مقابل مقابلة خاصة	0
834	1458330139004129283	reply-other-handle	0.5810591	@ghadaoueiss هؤلاء الحثلة الأقزام ليس لسياستهم مبادئ ومما هناك توجهات وتعليمات وأوامر يتلقونها فيمتثلون.	0
833	1459775214171181065	reply-other-handle	0.5810591	@ghadaoueiss من هذا الأبله ؟؟	0
832	1459936301533249537	reply-other-handle	0.5810591	@ghadaoueiss حمار	0
831	1460588501825642496	reply-other-handle	0.5810591	@ghadaoueiss هذا يهودي صهيوني متطرف لهذا الكل هاجمه	0
830	1463196472489484290	reply-other-handle	0.5810591	@ghadaoueiss بإمكآكنك أن تقدمي نفسك بدلاً لها كون وآلدك الخآئن والمجرم بحق الفلسطينين سيشفع لك عند الصهاينة واتركي الجكوزي وأغتنمي هذه الفرصة الذهبية	1
829	1482503246220386305	reply-other-handle	0.5810591	@ghadaoueiss لماذا لا تعنقين الإسلام وأنتي إنسانة رأعة	1
828	1437937120040079367	reply-other-handle	0.57816684	@ghadaoueiss مبس منخوليا أساسًا  يكفي نظرة علي المستشارين بتوعه وإنتي تعرفي إن دماغه فيها كلبة والدة	0
827	1438079506573627394	reply-other-handle	0.57816684	@ghadaoueiss هذه الصورة تفوق قدرة النازية على الوحشية الغربية الصهيونية وكل العملاء العرب الخونة https://t.co/5VCFkORJr1	0
826	1445132716744314890	reply-other-handle	0.57816684	@ghadaoueiss محتوى مشتركينهم هو السخيف	0
825	1450934742078066701	reply-other-handle	0.57816684	@ghadaoueiss انتم مرتزقة الخنزيرة عباد المال المنافقون عبيد موزة	0
824	1456687665118654466	reply-other-handle	0.57816684	@ghadaoueiss سكس	1
823	1458455045167534086	reply-other-handle	0.57816684	@ghadaoueiss وضعك مرير يحتاج لجرعة خرا بمخك	1
821	1437925105355603973	reply-other-handle	0.5750231	@ghadaoueiss لانهم اسرة واحدة وكلهم يخدمون الصهاينة الملاعين	0
820	1452715524920651780	reply-other-handle	0.5750231	@ghadaoueiss الاعراب أشد كفرًا ونفاق.	0
819	1453418487158870020	reply-other-handle	0.5750231	@ghadaoueiss يعني يا غادة ضروري يكون مرتزق حقير مثلك حتى ترضي عنه؟؟	1
818	1458723497669283847	reply-other-handle	0.5750231	@ghadaoueiss غباء من العبيظ	0
817	1466880698250588161	reply-other-handle	0.5750231	@ghadaoueiss عليهم من الله ما يستحقون كلهم في النار	0
816	1481294867175251976	reply-other-handle	0.5750231	@ghadaoueiss اسالي ابوك يابنت الكلب	1
815	1453960991444590604	reply-other-handle	0.57027644	@ghadaoueiss انت  موغادة	1
814	1456665522846773250	reply-other-handle	0.57027644	@ghadaoueiss أنهم جبناء يخشون بلد صغير	0
813	1457397109246803973	reply-other-handle	0.57027644	@ghadaoueiss كما جاء بك الأمريكان غصبا عنا يوما من الأيام سيذهبون بك رضا منا أيها الشاب الأرعن المجرم!!!	0
812	1458626920799784971	reply-other-handle	0.57027644	@ghadaoueiss @MariamAlbassam إنتي إلى تردي يا زباله حزب الحمير 🦓🦓🦓	1
811	1463251654791340045	reply-other-handle	0.57027644	@ghadaoueiss توحدوا في الموت	0
810	1464980082628468751	reply-other-handle	0.57027644	@ghadaoueiss هم قتلة لا يتورعون عن قتلنا	0
809	1442066070714654723	reply-other-handle	0.56268007	@ghadaoueiss أو يبيد أقلية فقط لأنها مسلمة كما تفعل الهند	0
808	1445905320597917701	reply-other-handle	0.56268007	@ghadaoueiss متخلف حتى العظم	0
807	1456623602602762242	reply-other-handle	0.56268007	@ghadaoueiss @abdusalamsalah الرئيس الأمريكي قال نحن من نحمي مؤخراتكم ويجب أن تدفعوا   وقال أنا سأزور السعودية إذا لم أجد الاستقبال من قبل آل سعود سأعود حالاً https://t.co/2YVvPXJIy7	0
806	1465268739931357189	reply-other-handle	0.56268007	@ghadaoueiss جمهورية الجزائر الفرنسية كيان إرهابي وأخطر من إسرائيل	0
805	1467188235965284355	reply-other-handle	0.56268007	@ghadaoueiss خنزيرة صهيونية   و ليست بشرا حتى	1
804	1433801272906424325	reply-other-handle	0.5550837	@ghadaoueiss هكذا .... عندما يتم تلميع الحثالات	0
803	1453446367150551046	reply-other-handle	0.5550837	@ghadaoueiss كم انت حقير يا مشنوق لو كنت رجل بس يا خسارة انت واحد شرموط	0
802	1458463903608971264	reply-other-handle	0.5550837	@ghadaoueiss لأنهم أنظمة فاسدة وشعوب جاهلة منبطحة صامتين عن قول وروئية الحق ...	0
801	1459833725697634305	reply-other-handle	0.5550837	@ghadaoueiss هذا ولد معتوه هو و والد	0
800	1460613866677673992	reply-other-handle	0.5550837	@ghadaoueiss لو كان اليهودي متعصب وفاشي فهو يتبع الصهيونية	0
799	1433794338149093421	reply-other-handle	0.5535644	@ghadaoueiss متخلف	0
798	1435578389621006347	reply-other-handle	0.5535644	@ghadaoueiss المصيبة صنعها الشعب وكفى.  هنا تصمت كل أفواح الصحافيين والممثلين الوهميين للشعب	0
797	1437467138713923591	reply-other-handle	0.5535644	@ghadaoueiss غادة عويس اسرف من امك  اروح اسال امك منو ابوك يا ابن القحاب	0
796	1437534996965822467	reply-other-handle	0.5535644	@ghadaoueiss قذرة وقعت مع قذرين مثلها	1
795	1437784468614520842	reply-other-handle	0.5535644	@ghadaoueiss أنت لا تتعاملين مع بشر ولا مع بقر .. هؤلاء شيء آخر ..لا قيمة له .. https://t.co/ebiFILDA0c	1
794	1437798409822408712	reply-other-handle	0.5535644	@ghadaoueiss #اللعنة_على_اليهود https://t.co/JljzP4aibJ	0
793	1437879715461746693	reply-other-handle	0.5535644	@ghadaoueiss أتمنى أن تدركي سيدة غادة أن هؤلاء وعلى رأسهم ابن سلمان وآل الشيخ والقذر الذي لا يقدح من رأسه لا ينتمون إلى أي أمة أو دين وإنما هي مخلوقات حيوانية بدائية قُدّر لها أن تعيش في هذا العصر مع كثير من المال وغياب للأخلاق والضمير.	1
792	1439363188823298051	reply-other-handle	0.5535644	@ghadaoueiss @ghadaoueiss مداير كي زبي	1
791	1443307665128660994	reply-other-handle	0.5535644	@ghadaoueiss غادة لسانك وسخ واسلوبك وسخ وقلبك وسخ من انتي عشان نتجسس عليك ومن زين وزين وجهك وعصقيل رجليك عشان ننشرها .. قرف	1
790	1445129404309454851	reply-other-handle	0.5535644	@ghadaoueiss محد يهتم مع نفسك	0
789	1445131920115970061	reply-other-handle	0.5535644	@ghadaoueiss @nour2014_El2 مثل الانتصاب الفوضوي في الاسواق	0
788	1449432853180264450	reply-other-handle	0.5535644	@ghadaoueiss قاتل الله الصهاينة	0
787	1450587949523996676	reply-other-handle	0.5535644	@ghadaoueiss نعم الذباب المتلذذ بتعذيبك النفسي	1
786	1453170465506267138	reply-other-handle	0.5535644	@ghadaoueiss شكرا جورج قرداحي   والخز والعار لكل خائن  إصلاحي	0
785	1453225088774508547	reply-other-handle	0.5535644	@ghadaoueiss الصليبي العنصري لا يستطيع ضبط عواطفه مدى الحياة. بعدين أمن نفسه بالملايين السعودية التي حصل عليها منهم. حلبهم وخلص. البقر الذي يستفيد من حليبه اعدائه فقط.	0
